category,attributes
Бахилы медицинские,Категория: Бахилы медицинские; Характеристики:; стерильные; одноразовые; размерный ряд
"Белье для спецодежды нательное, для взрослых","Категория: Белье для спецодежды нательное, для взрослых; Характеристики:; легкость; комфорт; прочные швы"
Бельевые изделия нательные спортивные для взрослых,Категория: Бельевые изделия нательные спортивные для взрослых; Характеристики:; легкость; упругость; комфорт
Блузки женские,Категория: Блузки женские; Характеристики:; легкость; цвет; количество пуговиц
Боевая одежда пожарного (БОП),Категория: Боевая одежда пожарного (БОП); Характеристики:; наличие защитных элементов; наличие специальных карманов; наличие светоотражающих элементов
Брюки для взрослых,Категория: Брюки для взрослых; Характеристики:; легкость; материал; длина
Веревки альпинистские,Категория: Веревки альпинистские; Характеристики:; Материал; Длина; Поперечный сечение
Ветровки для взрослых,Категория: Ветровки для взрослых; Характеристики:; Материал; Сезонность; Фасон
Галоши резиновые клееные для взрослых,Категория: Галоши резиновые клееные для взрослых; Характеристики:; качество резины; материал под只有查看模式才能看到内容; 只有查看模式才能看到内容
Гели для ухода за кожей лица,Категория: Гели для ухода за кожей лица; Характеристики:; Средство для очищения; Наносится на сухую кожу; Без агрессивных химикатов
Детали и аксессуары для одежды форменной,Категория: Детали и аксессуары для одежды форменной; Характеристики:; назначение; материал; цвет
Джемперы для взрослых,Категория: Джемперы для взрослых; Характеристики:; модель; материал; цвет
Емкости для инструментов,Категория: Емкости для инструментов; Характеристики:; Материал; Объем; Тип ручки
Жакеты женские,Категория: Жакеты женские; Характеристики:; количество пуговиц; длина рукава; материал
Жилеты для взрослых,Категория: Жилеты для взрослых; Характеристики:; количество пуговиц; материал; размер
Изделия и принадлежности для альпинизма,Категория: Изделия и принадлежности для альпинизма; Характеристики:; материал; тип крепления; предназначение
Каска строительная,Категория: Каска строительная; Характеристики:; безопасность; защита головы; регулировка размера
Каски защитные,Категория: Каски защитные; Характеристики:; Материал; Тип каски; Размер
"Колготки, легинсы (рейтузы), кюлоты","Категория: Колготки, легинсы (рейтузы), кюлоты; Характеристики:; Материал; Цвет; Размер"
"Костюмы защитные легкие для защиты от радиационной пыли, химических и бактериологических воздействий",Характеристики:; легкость; проницаемость для воздуха; защита от радиации; защита от химических веществ
Кремы для рук,Категория: Кремы для рук; Характеристики:; Увлажняющие; Гигиенические; С防护霜
Кроссовки,Категория: Кроссовки; Характеристики:; Материал верха; Тип подошвы; Размер
Куртки для взрослых из текстильных материалов демисезонные,Категория: Куртки для взрослых из текстильных материалов демисезонные; Характеристики:; легкость; демисезонность; ткань
Куртки для взрослых из текстильных материалов зимние,Категория: Куртки для взрослых из текстильных материалов зимние; Характеристики:; теплые; дышащие; легкие
Куртки для взрослых с верхом из меха зимние,Категория: Куртки для взрослых с верхом из меха зимние; Характеристики:; длина; материал верха; теплопроводность
"Маска лицевая для защиты дыхательных путей, одноразового использования",Характеристики:; безопасность; дышимость; стойкость к влаге; прозрачность
Медицинские наборы,Категория: Медицинские наборы; Характеристики:; наличие медицинских инструментов; комплектация; предназначение
Мыло туалетное жидкое,Категория: Мыло туалетное жидкое; Характеристики:; Упаковка; Объем; Средство для мытья
Мыло туалетное твердое,Категория: Мыло туалетное твердое; Характеристики:; форма; состав; цвет
Накомарники,Категория: Накомарники; Характеристики:; легкость; длина; материал
"Нарукавники, наплечники для защиты рук","Категория: Нарукавники, наплечники для защиты рук; Характеристики:; защита рук; для работы; разные размеры"
"Носки, подследники","Категория: Носки, подследники; Характеристики:; материал; цвет; размер"
Обувь валяная,Категория: Обувь валяная; Характеристики:; тканевая основа; ручной труд; натуральные материалы
Обувь зимняя с верхом из кожи,Категория: Обувь зимняя с верхом из кожи; Характеристики:; теплопроводность; длина; материал верха
Обувь летняя с верхом из кожи,Категория: Обувь летняя с верхом из кожи; Характеристики:; легкость; открытая стелька; мягкий верх
Обувь осенне-весенняя с верхом из кожи,Категория: Обувь осенне-весенняя с верхом из кожи; Характеристики:; легкость; цвет; размер
Обувь повседневная с верхом из кожи,Категория: Обувь повседневная с верхом из кожи; Характеристики:; легкость; удобство; длина
Обувь с верхом из текстильных материалов,Категория: Обувь с верхом из текстильных материалов; Характеристики:; легкость; цвет; размер
Обувь с защитным металлическим подноском,Категория: Обувь с защитным металлическим подноском; Характеристики:; металлический поднос; защита стопы; высокая прочность
Обувь специальная диэлектрическая,Категория: Обувь специальная диэлектрическая; Характеристики:; изоляция; безопасность; длительный срок службы
Обувь специальная из полимерных материалов для защиты от механических воздействий,Характеристики:; защита от ударов; легкость; стойкость к истиранию; водонепроницаемость
Обувь специальная из полимерных материалов для защиты от механических воздействий для работающих в угольных шахтах и разрезах,Характеристики:; защита стопы; высокая износостойкость; дышащая поверхность; прочная подошва
Обувь специальная кожаная для защиты от механических воздействий,Категория: Обувь специальная кожаная для защиты от механических воздействий; Характеристики:; защита; длительный срок службы; покрытие из кожи
"Обувь специальная кожаная для защиты от нефти, нефтепродуктов, кислот, щелочей, нетоксичной и взрывоопасной пыли",Характеристики:; защита от нефти; защита от нефтепродуктов; защита от кислот; защита от щелочей
Обувь специальная кожаная для защиты от повышенных температур,Категория: Обувь специальная кожаная для защиты от повышенных температур; Характеристики:; защита от огня; высокая износостойкость; теплопроводность
Обувь специальная кожаная для защиты от скольжения по зажиренным поверхностям,Характеристики:; предназначена для работы; имеет специальное покрытие; изготовлена из кожи; противоскользящая
