category,domain,attributes
Бахилы медицинские,generic,Назначение; Материал; Размер
"Белье для спецодежды нательное, для взрослых",underwear,Размер; Пол; Состав ткани
Бельевые изделия нательные спортивные для взрослых,underwear,Размер; Пол; Состав ткани
Блузки женские,clothes,Размер; Пол; Цвет
Боевая одежда пожарного (БОП),clothes,Размер; Пол; Цвет
Брюки для взрослых,clothes,Размер; Пол; Цвет
Веревки альпинистские,generic,Назначение; Материал; Размер
Ветровки для взрослых,clothes,Размер; Пол; Цвет
Галоши резиновые клееные для взрослых,shoes,Размер обуви; Пол; Сезонность обуви
Гели для ухода за кожей лица,cosmetics,Тип средства; Назначение; Объем
Детали и аксессуары для одежды форменной,generic,Назначение; Материал; Размер
Джемперы для взрослых,clothes,Размер; Пол; Цвет
Емкости для инструментов,generic,Назначение; Материал; Размер
Жакеты женские,generic,Назначение; Материал; Размер
Жилеты для взрослых,clothes,Размер; Пол; Цвет
Изделия и принадлежности для альпинизма,generic,Назначение; Материал; Размер
Каска строительная,generic,Назначение; Материал; Размер
Каски защитные,generic,Назначение; Материал; Размер
"Колготки, легинсы (рейтузы), кюлоты",underwear,Размер; Пол; Состав ткани
"Костюмы защитные легкие для защиты от радиационной пыли, химических и бактериологических воздействий",spec_clothes,Назначение; Класс защиты; Температурный диапазон
Кремы для рук,cosmetics,Тип средства; Назначение; Объем
Кроссовки,shoes,Размер обуви; Пол; Сезонность обуви
Куртки для взрослых из текстильных материалов демисезонные,clothes,Размер; Пол; Цвет
Куртки для взрослых из текстильных материалов зимние,clothes,Размер; Пол; Цвет
Куртки для взрослых с верхом из меха зимние,clothes,Размер; Пол; Цвет
"Маска лицевая для защиты дыхательных путей, одноразового использования",generic,Назначение; Материал; Размер
Медицинские наборы,med_sets,Состав набора; Область применения; Стерильность
Мыло туалетное жидкое,cosmetics,Тип средства; Назначение; Объем
Мыло туалетное твердое,cosmetics,Тип средства; Назначение; Объем
Накомарники,generic,Назначение; Материал; Размер
"Нарукавники, наплечники для защиты рук",generic,Назначение; Материал; Размер
"Носки, подследники",underwear,Размер; Пол; Состав ткани
Обувь валяная,shoes,Размер обуви; Пол; Сезонность обуви
Обувь зимняя с верхом из кожи,shoes,Размер обуви; Пол; Сезонность обуви
Обувь летняя с верхом из кожи,shoes,Размер обуви; Пол; Сезонность обуви
Обувь осенне-весенняя с верхом из кожи,shoes,Размер обуви; Пол; Сезонность обуви
Обувь повседневная с верхом из кожи,shoes,Размер обуви; Пол; Сезонность обуви
Обувь с верхом из текстильных материалов,shoes,Размер обуви; Пол; Сезонность обуви
Обувь с защитным металлическим подноском,shoes,Размер обуви; Пол; Сезонность обуви
Обувь специальная диэлектрическая,shoes,Размер обуви; Пол; Сезонность обуви
Обувь специальная из полимерных материалов для защиты от механических воздействий,shoes,Размер обуви; Пол; Сезонность обуви
Обувь специальная из полимерных материалов для защиты от механических воздействий для работающих в угольных шахтах и разрезах,shoes,Размер обуви; Пол; Сезонность обуви
Обувь специальная кожаная для защиты от механических воздействий,shoes,Размер обуви; Пол; Сезонность обуви
"Обувь специальная кожаная для защиты от нефти, нефтепродуктов, кислот, щелочей, нетоксичной и взрывоопасной пыли",shoes,Размер обуви; Пол; Сезонность обуви
Обувь специальная кожаная для защиты от повышенных температур,shoes,Размер обуви; Пол; Сезонность обуви
